age,workclass,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income,region
42,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
38,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
26,Private,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
54,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
46,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,>50K,United States
32,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
25,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,>50K,United States
30,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,75,>50K,United States
25,Private,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,Europe
37,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,75,>50K,United States
28,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
31,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
44,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
44,Private,7,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,>50K,United States
39,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,>50K,United States
51,Federal-gov,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,>50K,United States
27,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K,United States
31,Private,9,Married-civ-spouse,Transport-moving,Wife,White,Female,35,>50K,United States
53,Private,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,>50K,Latin America
37,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
48,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
56,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,44,>50K,United States
35,Private,9,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
50,Local-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
42,Private,9,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
58,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
35,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
46,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
34,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
43,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
39,State-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,38,>50K,United States
46,Federal-gov,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,United States
55,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,72,>50K,United States
38,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
27,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
47,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
47,Private,12,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
36,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
43,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
44,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
36,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,>50K,United States
51,Private,12,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
57,Self-emp-inc,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,>50K,Europe
32,Private,10,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
39,Self-emp-inc,12,Married-civ-spouse,Sales,Husband,White,Male,48,>50K,United States
35,Self-emp-inc,13,Married-civ-spouse,Sales,Own-child,White,Male,50,>50K,United States
45,Private,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,40,>50K,Asia
39,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
31,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,United States
53,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,>50K,United States
54,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
37,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K,United States
55,Private,11,Married-civ-spouse,Transport-moving,Husband,White,Male,50,>50K,United States
45,Local-gov,9,Married-civ-spouse,Transport-moving,Wife,White,Female,40,>50K,United States
59,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
47,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
28,Federal-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
47,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,United States
38,Private,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,>50K,United States
54,Federal-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
58,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
24,Private,10,Never-married,Sales,Own-child,White,Female,30,<=50K,United States
45,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
47,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
36,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,<=50K,United States
44,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,<=50K,Europe
29,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K,Europe
52,Federal-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,United States
54,Private,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,<=50K,Asia
46,Private,10,Married-civ-spouse,Other-service,Wife,White,Female,40,<=50K,United States
49,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
49,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K,United States
31,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,United States
32,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,45,<=50K,United States
29,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
52,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
51,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,<=50K,Asia
24,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,<=50K,United States
28,Private,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,55,<=50K,United States
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,Europe
49,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
45,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,50,>50K,United States
40,Private,10,Separated,Craft-repair,Unmarried,White,Male,47,>50K,United States
37,Private,13,Separated,Prof-specialty,Unmarried,White,Female,32,>50K,United States
60,Federal-gov,11,Divorced,Prof-specialty,Unmarried,White,Male,40,>50K,United States
52,Local-gov,9,Divorced,Tech-support,Unmarried,White,Male,36,>50K,United States
43,Private,10,Separated,Transport-moving,Unmarried,White,Male,51,>50K,United States
43,Private,14,Widowed,Exec-managerial,Unmarried,White,Male,40,>50K,United States
30,Private,13,Never-married,Transport-moving,Not-in-family,White,Male,40,<=50K,United States
34,Self-emp-inc,14,Separated,Prof-specialty,Not-in-family,White,Female,40,>50K,United States
64,State-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,40,>50K,United States
51,Private,16,Divorced,Craft-repair,Not-in-family,White,Female,60,>50K,United States
40,Private,10,Divorced,Other-service,Not-in-family,Black,Male,50,>50K,United States
51,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,24,>50K,United States
58,Private,9,Divorced,Tech-support,Not-in-family,White,Male,39,>50K,United States
39,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Male,40,>50K,United States
34,Self-emp-inc,14,Never-married,Exec-managerial,Not-in-family,White,Female,45,>50K,Europe
61,Private,13,Divorced,Sales,Not-in-family,Black,Male,48,>50K,United States
30,Private,13,Never-married,Tech-support,Not-in-family,White,Female,45,>50K,United States
58,Federal-gov,13,Separated,Prof-specialty,Not-in-family,White,Male,40,>50K,United States
35,Private,9,Never-married,Sales,Not-in-family,White,Male,40,>50K,United States
46,Local-gov,13,Divorced,Prof-specialty,Not-in-family,White,Female,25,>50K,United States
52,Local-gov,14,Divorced,Exec-managerial,Not-in-family,White,Female,60,>50K,United States
46,Local-gov,13,Never-married,Prof-specialty,Own-child,White,Male,45,>50K,United States
39,Private,10,Never-married,Prof-specialty,Not-in-family,Black,Male,40,>50K,United States
38,Local-gov,13,Never-married,Protective-serv,Not-in-family,White,Female,43,>50K,United States
49,Private,14,Divorced,Sales,Not-in-family,White,Male,45,>50K,United States
30,Private,12,Never-married,Craft-repair,Not-in-family,White,Male,50,>50K,United States
53,Private,9,Divorced,Prof-specialty,Not-in-family,White,Male,46,>50K,United States
59,Local-gov,14,Widowed,Prof-specialty,Unmarried,White,Female,60,>50K,United States
52,State-gov,14,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,44,>50K,United States
45,Private,13,Divorced,Adm-clerical,Unmarried,White,Female,35,>50K,United States
42,Private,14,Divorced,Tech-support,Unmarried,Black,Female,35,>50K,United States
39,Private,9,Divorced,Sales,Not-in-family,White,Female,50,>50K,United States
31,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,45,<=50K,United States
36,Private,5,Divorced,Handlers-cleaners,Not-in-family,White,Male,56,<=50K,United States
36,Private,8,Never-married,Exec-managerial,Not-in-family,White,Male,50,<=50K,United States
42,Private,14,Divorced,Prof-specialty,Not-in-family,White,Male,40,<=50K,United States
30,Self-emp-inc,9,Divorced,Exec-managerial,Not-in-family,White,Male,40,<=50K,United States
39,Private,9,Never-married,Tech-support,Not-in-family,White,Male,44,<=50K,United States
37,Local-gov,11,Never-married,Protective-serv,Not-in-family,White,Male,40,<=50K,United States
35,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,40,<=50K,United States
32,Private,10,Never-married,Craft-repair,Not-in-family,White,Male,45,<=50K,United States
23,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,50,<=50K,Europe
55,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,20,<=50K,United States
43,Private,9,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K,United States
57,Private,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,<=50K,Other
32,Private,1,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,40,<=50K,Asia
56,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,United States
43,Self-emp-not-inc,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K,Latin America
28,Private,5,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
21,Self-emp-not-inc,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,<=50K,Europe
25,Private,9,Never-married,Machine-op-inspct,Own-child,White,Male,40,<=50K,United States
49,Private,6,Separated,Exec-managerial,Not-in-family,Black,Male,99,<=50K,United States
33,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,<=50K,United States
22,Without-pay,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,<=50K,United States
34,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,30,<=50K,United States
25,Private,9,Never-married,Adm-clerical,Own-child,Black,Female,40,<=50K,Latin America
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K,United States
55,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
40,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,<=50K,United States
53,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K,United States
55,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
45,Self-emp-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,35,>50K,United States
38,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
53,Self-emp-not-inc,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,Europe
46,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,>50K,United States
42,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,>50K,United States
51,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
43,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,>50K,United States
47,Local-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,40,>50K,United States
51,Federal-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
31,Private,12,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
30,Private,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,United States
44,Private,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,<=50K,United States
48,Private,13,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
51,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
35,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,47,>50K,United States
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
41,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
54,Self-emp-not-inc,14,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
31,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,>50K,United States
44,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
51,Federal-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,52,>50K,United States
63,Private,7,Married-civ-spouse,Protective-serv,Husband,White,Male,37,>50K,United States
51,Private,7,Married-civ-spouse,Sales,Husband,White,Male,30,>50K,United States
35,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,>50K,United States
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
24,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K,United States
44,Local-gov,11,Married-civ-spouse,Transport-moving,Husband,White,Male,40,>50K,United States
57,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,>50K,United States
47,Private,9,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
44,Private,12,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
37,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,44,>50K,United States
31,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,>50K,United States
53,State-gov,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
34,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
29,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,40,>50K,United States
53,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,>50K,United States
44,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K,United States
48,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,>50K,United States
34,State-gov,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,>50K,United States
44,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,55,<=50K,United States
29,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,45,>50K,United States
51,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
37,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
46,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,38,>50K,United States
37,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
36,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
31,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,Latin America
53,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,>50K,Asia
38,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,48,<=50K,United States
43,Local-gov,10,Married-civ-spouse,Tech-support,Husband,White,Male,99,>50K,United States
53,Private,9,Married-civ-spouse,Other-service,Husband,Black,Male,30,>50K,United States
45,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,38,>50K,United States
41,Private,11,Married-civ-spouse,Sales,Husband,White,Male,60,>50K,United States
63,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
42,Self-emp-not-inc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,80,>50K,United States
40,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,>50K,United States
24,Private,9,Never-married,Exec-managerial,Other-relative,White,Male,50,<=50K,United States
31,Private,13,Never-married,Sales,Not-in-family,White,Male,50,<=50K,United States
27,State-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,<=50K,United States
28,Local-gov,13,Never-married,Adm-clerical,Not-in-family,Black,Female,60,<=50K,United States
54,State-gov,8,Never-married,Other-service,Own-child,White,Male,40,<=50K,United States
59,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
58,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,<=50K,Asia
39,Private,9,Married-civ-spouse,Sales,Husband,White,Male,38,<=50K,United States
63,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
47,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,60,<=50K,United States
35,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,35,<=50K,United States
52,Self-emp-inc,6,Married-civ-spouse,Sales,Husband,White,Male,45,<=50K,United States
35,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
40,Private,4,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
40,Private,3,Married-civ-spouse,Other-service,Husband,Other,Male,40,<=50K,Latin America
27,Federal-gov,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,Latin America
55,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
38,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
47,Private,13,Married-civ-spouse,Sales,Husband,White,Male,60,<=50K,United States
47,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,United States
28,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,<=50K,United States
34,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,50,<=50K,United States
46,Private,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,<=50K,United States
41,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
50,Private,12,Married-civ-spouse,Sales,Wife,White,Female,40,<=50K,United States
41,Local-gov,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,United States
38,Private,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,84,<=50K,Europe
35,Private,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,<=50K,United States
59,Private,7,Married-civ-spouse,Other-service,Wife,White,Female,28,<=50K,United States
31,Private,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,<=50K,United States
51,Private,4,Married-civ-spouse,Exec-managerial,Husband,Other,Male,47,<=50K,United States
23,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,<=50K,United States
27,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,<=50K,United States
35,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,27,<=50K,United States
21,Private,6,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,United States
54,State-gov,9,Separated,Adm-clerical,Unmarried,Black,Female,35,<=50K,United States
37,Private,9,Never-married,Handlers-cleaners,Unmarried,White,Female,40,<=50K,Latin America
28,Federal-gov,10,Never-married,Adm-clerical,Unmarried,Black,Female,40,<=50K,United States
32,Private,10,Separated,Tech-support,Unmarried,Black,Female,40,<=50K,United States
65,Private,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,United States
37,Private,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,50,<=50K,Latin America
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,40,<=50K,Latin America
48,Private,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K,Latin America
35,Private,7,Separated,Transport-moving,Not-in-family,Black,Male,40,<=50K,United States
36,Private,13,Divorced,Adm-clerical,Not-in-family,White,Female,40,<=50K,United States
50,Federal-gov,7,Never-married,Sales,Not-in-family,Black,Female,40,<=50K,United States
46,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,30,<=50K,United States
32,Private,2,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,Latin America
64,Local-gov,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,United States
73,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,Europe
37,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,United States
72,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,20,<=50K,United States
39,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,United States
38,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,<=50K,Latin America
29,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K,United States
38,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,United States
37,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,<=50K,United States
31,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,38,<=50K,United States
38,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,White,Male,80,<=50K,Europe
31,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,45,<=50K,United States
46,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
37,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,United States
30,Private,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,Latin America
55,Private,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,<=50K,United States
75,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K,United States
29,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,45,<=50K,United States
47,Local-gov,7,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,Latin America
41,Private,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,<=50K,Latin America
46,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,35,<=50K,Latin America
56,Self-emp-not-inc,5,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,50,<=50K,Latin America
55,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,<=50K,Latin America
29,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,<=50K,Latin America
24,Private,10,Never-married,Adm-clerical,Own-child,White,Female,52,<=50K,Latin America
43,Private,13,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,40,<=50K,United States
29,Private,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,<=50K,Latin America
47,Self-emp-inc,13,Never-married,Sales,Not-in-family,White,Male,60,<=50K,United States
21,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,60,<=50K,United States
60,Private,10,Divorced,Prof-specialty,Unmarried,White,Male,42,<=50K,United States
51,Local-gov,15,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K,United States
29,Private,13,Never-married,Sales,Not-in-family,White,Female,45,<=50K,United States
40,Private,11,Divorced,Tech-support,Not-in-family,White,Male,40,<=50K,United States
27,Private,12,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,United States
27,Private,9,Never-married,Craft-repair,Not-in-family,Black,Male,40,<=50K,United States
26,Private,9,Never-married,Craft-repair,Own-child,White,Male,40,<=50K,United States
48,Self-emp-not-inc,10,Divorced,Sales,Not-in-family,White,Female,60,<=50K,United States
42,Local-gov,10,Divorced,Tech-support,Not-in-family,White,Female,40,<=50K,United States
41,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,50,<=50K,United States
67,Self-emp-not-inc,9,Divorced,Exec-managerial,Not-in-family,White,Female,16,<=50K,United States
66,Federal-gov,11,Widowed,Other-service,Unmarried,Black,Female,40,<=50K,United States
69,Self-emp-not-inc,6,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,45,<=50K,United States
31,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,Latin America
37,Private,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,40,<=50K,United States
37,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,77,<=50K,Asia
64,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
47,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K,United States
29,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,<=50K,Europe
57,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
50,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,<=50K,Latin America
51,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,<=50K,United States
60,Private,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,Europe
35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
37,Self-emp-not-inc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,<=50K,United States
36,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K,Latin America
38,Self-emp-not-inc,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,<=50K,United States
30,Self-emp-not-inc,11,Married-civ-spouse,Sales,Husband,White,Male,60,<=50K,Europe
33,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,47,>50K,United States
37,Private,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,>50K,United States
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,United States
41,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
26,Private,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
51,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,50,>50K,United States
33,Private,9,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
36,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
39,Private,9,Married-civ-spouse,Sales,Husband,White,Male,44,>50K,United States
51,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K,United States
36,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
